SC height;SC CG in y direction [% of SC height];Mast mass per height;Mast CG in x direction;Mast additional masses;Wheel distance;Traverse CG in x direction;Traverse mass per length;Traverse additional masses;Maximum acceleration in x direction;Slip time in x direction;Maximum velocity in x direction;Lift CG in x direction [distance to mast CG];Lift mass empty;Load average mass;Maximum acceleration in y direction;Rack length
0.457832229;0.59013731;0.802671163;0.795098369;0.274162549;0.815624606;0.301611623;0.284535682;0.987016761;0.405972077;0.675758774;0.709699514;0.755764001;0.291463273;0.244121689;0.680616076;0.437123621
0.614179136;0.554122743;0.920077743;0.563600368;0.212295;0.944017992;0.22423981;0.809557812;0.590553021;0.546293496;0.098010775;0.354463544;0.301604234;0.047184562;0.879183005;0.453200188;0.945422069
0.448745061;0.571265831;0.339185536;0.458645949;0.213471205;0.999525505;0.684277547;0.805191231;0.182105663;0.346613874;0.74159416;0.141165529;0.407032017;0.867266655;0.949136176;0.316146131;0.643390595
0.254936968;0.210413391;0.160177059;0.058216256;0.251690711;0.530291755;0.49656974;0.30680424;0.358714737;0.00950123;0.38743628;0.671179369;0.954668769;0.954612896;0.931203352;0.688160893;0.683097228
0.490878898;0.72841055;0.749162734;0.429583247;0.060940032;0.744068272;0.486332884;0.583593137;0.639140446;0.520008314;0.184031043;0.708274868;0.758536136;0.566787369;0.919925905;0.646122513;0.034405806
0.280324867;0.685305732;0.375556822;0.109515889;0.133753306;0.243876525;0.850519068;0.423561973;0.99768473;0.230303118;0.572868455;0.846998692;0.651594281;0.03149812;0.460725079;0.573837379;0.349434982
0.572083047;0.776365108;0.659430588;0.111601987;0.468797685;0.984462122;0.21830318;0.072148819;0.783130795;0.795356513;0.942146871;0.734742052;0.711464679;0.631445874;0.641215689;0.742477934;0.882867751
0.077066473;0.467175359;0.228570077;0.92169663;0.491225316;0.340795298;0.273902237;0.69869845;0.962537827;0.330327286;0.034989863;0.964963532;0.952581457;0.251811588;0.924625802;0.538797288;0.747654305
0.60058655;0.573180535;0.992235552;0.897501459;0.36915991;0.022918902;0.017219954;0.766348754;0.898526287;0.026426975;0.883747398;0.05271997;0.19810826;0.605048519;0.870678271;0.532161806;0.568538062
0.110966747;0.72812089;0.237539171;0.447323658;0.572258647;0.270549163;0.374823233;0.329555438;0.861015461;0.260480041;0.524201749;0.627999743;0.237826331;0.856305577;0.552693814;0.000269789;0.320200211
0.402397733;0.630213444;0.124436404;0.359156009;0.619335177;0.939591147;0.216573382;0.168587109;0.143663899;0.160899431;0.08647555;0.911118932;0.944663906;0.471027744;0.593644512;0.141551165;0.766889788
0.61808321;0.86112921;0.011763961;0.894873818;0.984765663;0.616331518;0.766593826;0.76427665;0.151635434;0.288125947;0.654321518;0.684442706;0.069695234;0.904554865;0.757845577;0.258303479;0.453364578
0.9089407;0.022156665;0.902385727;0.647922555;0.829077847;0.188427371;0.605853922;0.323039641;0.967126326;0.132875305;0.020483708;0.300663162;0.43255659;0.301233818;0.957116804;0.714396215;0.689066613
0.907731986;0.680677068;0.967009236;0.2197085;0.232550119;0.103664265;0.027293374;0.722861447;0.594224243;0.094337363;0.774583859;0.940401404;0.730053195;0.025669213;0.092101709;0.040711146;0.679595862
0.835830507;0.418645969;0.127713336;0.349246651;0.025026469;0.912645851;0.068959437;0.678351858;0.656243967;0.275540815;0.210820165;0.285348907;0.74099033;0.870340011;0.816331876;0.324787133;0.076366746
0.271054075;0.827064819;0.827850434;0.385424564;0.798754802;0.600655232;0.36000807;0.830537553;0.782128553;0.335772346;0.109969636;0.981331361;0.021014985;0.517120301;0.048125829;0.264541304;0.204424493
0.430967615;0.926384504;0.146218042;0.508785423;0.618011684;0.370124694;0.543183816;0.412317721;0.175276119;0.185725158;0.153314833;0.535961719;0.705324388;0.818662323;0.093033712;0.765953812;0.346814659
