wheel_f;wheel_r;rail_max
0.380929536;0.315304854;0.294574781
0.291030634;0.171454635;0.176855885
0.389122801;0.293384608;0.271328226
0.736016852;0.572648666;0.57718156
0.295970204;0.216825543;0.192148296
0.453308552;0.32456585;0.243864926
0.210153942;0.071440436;0.110688899
0.408545785;0.451114794;0.346057244
0.388418476;0.391124668;0.306436153
0.458222614;0.380923018;0.327936724
0.620457139;0.479429472;0.343493232
0.269201597;0.261397343;0.238197529
0.351139606;0.28150579;0.278828757
0.447867911;0.32566595;0.135238467
0.360603731;0.226242352;0.225420171
0.515311661;0.367375272;0.219346576
0.370274451;0.300011802;0.33272327
0.426897326;0.202634215;0.227495102
0.67739113;0.581886449;0.579570248
0.38552065;0.33988927;0.34015024
0.481990402;0.402484716;0.368771224
0.396013302;0.212863385;0.229288664
0.591208199;0.397706238;0.360044462
0.201037525;0.082025215;0.109428421
0.354079114;0.197182866;0.213751888
0.229979433;0.094202214;0.12044742
0.187364276;0.174957192;0.173905287
0.662948488;0.639419589;0.583703359
0.210028711;0.12320474;0.135459073
0.262940845;0.203284331;0.196758325
0.251588191;0.145069369;0.152446385
0.322584842;0.370124811;0.298954417
0.58990087;0.556571632;0.573129918
0.5931989;0.382661918;0.336558941
0.232145947;0.110780082;0.121427141
0.278431089;0.245638261;0.285765946
0.62540025;0.449935998;0.369713346
0.363099518;0.357929716;0.301292908
0.145835662;0.116026882;0.122233409
0.348977905;0.233420994;0.169176185
0.413318346;0.210272247;0.224125709
0.213820796;0.270276955;0.238904713
0.474580628;0.392177286;0.353628908
0.390352265;0.381964314;0.337648933
0.548784223;0.449708089;0.385657605
0.427273097;0.365749587;0.351786515
0.506512102;0.467407178;0.45975628
0.317199029;0.290867856;0.242121776
0.277831717;0.0831754;0.145567529
0.218179809;0.113889462;0.109901495
0.213543932;0.123493658;0.131550965
0.330371816;0.202241837;0.158917273
0.636959654;0.510359994;0.483727659
0.203259034;0.107808243;0.121951349
0.368298869;0.283447734;0.252315566
0.180018619;0.227693465;0.158920983
0.754735091;0.598118657;0.404956341
0.183159721;0.063434929;0.091377181
0.241982342;0.072413895;0.12887576
0.218914825;0.110103565;0.105788133
0.419092767;0.275132999;0.252388874
0.604867883;0.555811499;0.509408164
0.628363501;0.538207385;0.495892616
0.551024637;0.502075783;0.509397685
0.198059536;0.185304056;0.148951455
0.079935823;0.155582041;0.089787452
0.289772473;0.218287752;0.197152008
0.500885273;0.421504166;0.397892755
0.266428451;0.170365981;0.157759031
0.203397717;0.164512817;0.150324239
0.394235009;0.452404025;0.298757159
0.2966266;0.177227709;0.185290085
0.260532162;0.213728507;0.205239807
0.572538238;0.529401465;0.476740494
0.263795465;0.158184605;0.169493422
0.310615421;0.290655385;0.268417913
0.573276023;0.303857473;0.30474113
0.237652817;0.2145499;0.213696781
0.545563382;0.288262551;0.284199525
0.634843143;0.535237039;0.388642031
0.59804258;0.440564843;0.354786317
0.512010038;0.459395072;0.397248883
0.584505719;0.434226798;0.364446957
0.535856904;0.393670247;0.331695519
0.474776051;0.287421933;0.202831743
0.45188105;0.281932254;0.241574764
0.372263884;0.337632078;0.345304282
