wheel_f;wheel_r;rail_max
0.322862317;0.373124579;0.291512388
0.173564355;0.288957893;0.175119874
0.295967272;0.386465739;0.26969008
0.577775618;0.730679225;0.595393396
0.228192748;0.283287619;0.177967987
0.33946872;0.438655198;0.381098195
0.075664616;0.20578754;0.108330403
0.4619375;0.39414782;0.24635407
0.395227618;0.383613838;0.306819557
0.39935178;0.439344748;0.391246372
0.494934031;0.606951809;0.443307732
0.274925607;0.254896715;0.224439964
0.288535996;0.343596628;0.278282074
0.335184164;0.440347901;0.426626622
0.234830095;0.351483599;0.21236674
0.382590647;0.502560524;0.384054687
0.312641899;0.355499028;0.35374275
0.211452285;0.418876171;0.202213747
0.584116938;0.674970557;0.57833754
0.349373912;0.375281982;0.339763937
0.40645376;0.4779142;0.367043357
0.214268998;0.394346497;0.228278133
0.402733217;0.586609945;0.354360462
0.086339493;0.196698473;0.108120658
0.204901361;0.345726205;0.225803765
0.099005556;0.225748005;0.117731821
0.179167675;0.182814869;0.173651386
0.646482567;0.655257161;0.559667649
0.124417208;0.208710668;0.135086585
0.212786559;0.252586399;0.195867068
0.149960472;0.246688926;0.149448929
0.386874727;0.300512637;0.166770901
0.557997697;0.588061598;0.572632504
0.387073349;0.589289343;0.331685849
0.120581404;0.223001139;0.114415579
0.256782572;0.267238179;0.348079651
0.463003653;0.61449553;0.359879972
0.362142467;0.357002928;0.30270195
0.118623709;0.142516481;0.122034279
0.251354608;0.328201793;0.271672497
0.217555638;0.406706157;0.217542955
0.284551791;0.197066691;0.1343764
0.401664488;0.465152422;0.424152749
0.390651388;0.380697155;0.338172638
0.460161184;0.539119765;0.433343463
0.399154147;0.386011995;0.341962252
0.478576208;0.494870285;0.458759126
0.311197266;0.294174855;0.230321711
0.085975835;0.275299786;0.142908297
0.122033681;0.210766308;0.335759739
0.127672306;0.209292046;0.131900252
0.21596452;0.316560564;0.3116021
0.516610028;0.630925375;0.516665818
0.112405966;0.198419648;0.121095003
0.29517613;0.356716659;0.242487894
0.230191441;0.176615857;0.159565941
0.600788815;0.753010711;0.496050227
0.067058339;0.179636091;0.088101766
0.073507326;0.241035975;0.127413557
0.120164946;0.210383441;0.287988006
0.279920024;0.414768255;0.247074038
0.568088541;0.591535136;0.499582656
0.547684489;0.619082484;0.505996818
0.503331298;0.549436069;0.509096601
0.196952577;0.183760676;0.149635342
0.158335222;0.075803084;0.0900016
0.228127984;0.279601735;0.233494584
0.423656266;0.498753309;0.397394589
0.178950068;0.257852283;0.149554132
0.171818832;0.195829374;0.149588153
0.463852877;0.379923143;0.305757043
0.190032657;0.281435916;0.172425634
0.217556615;0.256331813;0.204344346
0.540161137;0.562130991;0.516971861
0.161848283;0.259647094;0.169047153
0.301672556;0.296119495;0.268558078
0.305046467;0.572358856;0.301494058
0.217751295;0.234030328;0.213237646
0.29966005;0.536831475;0.378826648
0.547953581;0.623656541;0.47642806
0.44587611;0.593538525;0.350255552
0.476602642;0.490735557;0.362106702
0.439710348;0.579468421;0.361978455
0.400113008;0.530195621;0.328503899
0.302301171;0.461679624;0.359863657
0.297462552;0.436717209;0.342687453
0.344703859;0.364126222;0.319621027
0.313409394;0.577096842;0.288605252
0.27884165;0.358089449;0.333192593
0.100280132;0.158126866;0.095926828
0.25339774;0.270648448;0.257213413
0.519105222;0.746175695;0.374244891
0.382378422;0.369423083;0.310516616
0.205564959;0.252522959;0.280769354
0.131179559;0.102120481;0.095517279
0.166557061;0.231558633;0.282926062
0.200520151;0.250191964;0.185813729
0.146846224;0.271700947;0.158356807
0.264445887;0.294631664;0.321759361
0.307999137;0.303130796;0.277971348
0.168297349;0.275195282;0.273109724
0.094750836;0.209772756;0.103881211
0.09180942;0.239049325;0.128340402
0.110043933;0.162064016;0.112834947
0.298475409;0.307113013;0.264363239
0.204989268;0.260877388;0.209945343
0.226105946;0.373801098;0.209980152
0.147862106;0.240208557;0.156709503
0.39442076;0.416623996;0.387687606
0.225741256;0.267848405;0.196345778
0.429813057;0.487008311;0.378186378
0.588884158;0.581727496;0.391032585
0.246063267;0.246242033;0.324178685
0.244535397;0.227187837;0.206541687
0.105495786;0.254801235;0.143006032
0.397119044;0.403767384;0.36244837
0.186221454;0.146236384;0.13637103
0.19399926;0.229183892;0.299915392
0.078020127;0.144866726;0.08260867
0.227422904;0.322686076;0.207557488
0.043390106;0.187256776;0.108773401
0.176074335;0.121600556;0.116188838
0.199093113;0.189719378;0.168119175
0.365597951;0.56766011;0.325916984
0.646589641;0.661212625;0.657330477
0.398310497;0.574136614;0.428551623
0.162070549;0.203626505;0.151378256
0.474225481;0.554152637;0.437405635
0.259970015;0.249010124;0.284781456
0.554865403;0.615417429;0.529766511
0.234481924;0.303646079;0.209851355
0.1842191;0.268268344;0.28712369
0.604074571;0.720540114;0.488379391
0.176626598;0.278275952;0.168311937
0.323826993;0.370176054;0.286112067
0.245815525;0.250487312;0.235023369
0.356195124;0.362978376;0.327520133
0.562301287;0.713406362;0.426733335
0.151144063;0.118775475;0.100801481
0.242330442;0.296716471;0.250082136
0.262842786;0.270521825;0.206881541
0.480727104;0.46290104;0.383200481
0.50432322;0.638132173;0.381491484
0.158605508;0.178738455;0.175009172
0.456359842;0.434554172;0.350080831
0.510544538;0.573286919;0.473083028
0.3710535;0.453742334;0.337386046
0.486238833;0.544825435;0.484566614
0.291713924;0.350250013;0.342252527
0.310506068;0.328823621;0.276608704
0.354233212;0.219201808;0.145321585
0.176597046;0.151583679;0.11020922
0.353471943;0.43918321;0.374839813
0.60387728;0.706174271;0.633642019
0.471318936;0.404735604;0.325486289
0.357809391;0.384783662;0.354270593
0.529920956;0.504119051;0.36393098
0.544362374;0.613576437;0.43476362
0.491318212;0.618939728;0.445343129
0.134256531;0.322394421;0.178175989
0.270091432;0.344902752;0.25617741
0.153780121;0.283949457;0.160016813
0.3947866;0.421746363;0.373361318
0.531232021;0.665425602;0.533628652
0.149758058;0.103836254;0.093850447
0.696832935;0.747260223;0.643806263
0.187957236;0.211071649;0.214318731
0.595713785;0.749405763;0.47002964
0.140535427;0.090793622;0.068515144
0.316131347;0.504650557;0.395716931
0.367296994;0.556307913;0.311847929
0.618731496;0.803751619;0.463726212
0.178852697;0.216838723;0.160254281
0.157974348;0.142573885;0.165477667
0.245972462;0.34097885;0.226809786
0.630962676;0.647930529;0.50653438
0.293610025;0.26624321;0.242158083
0.214521241;0.355325797;0.205094629
0.207182454;0.332749492;0.217988846
0.151413873;0.341081362;0.17787519
0.230172347;0.244775063;0.215385583
0.11801804;0.189258119;0.121060943
0.42197786;0.41648654;0.340788281
0.600033742;0.662698413;0.49095571
0.298078493;0.238387754;0.202786354
0.409908095;0.304711815;0.211051391
0.053117844;0.157950402;0.087134287
0.142599003;0.271752403;0.157201075
0.503227191;0.514575371;0.405911454
0.149559972;0.230544984;0.146248991
0.551809015;0.678826047;0.45864714
0.33691771;0.521140279;0.294880253
0.274023202;0.319129979;0.260919737
0.433626097;0.302599875;0.227243459
0.191976986;0.372591843;0.200577402
0.201095714;0.162055597;0.133025908
0.215066263;0.136995337;0.122734977
