wheel_f;wheel_r;rail_max
0.479736748;0.391339133;0.325795234
0.307392594;0.322396395;0.290978527
0.441320856;0.423207678;0.411123271
0.638224246;0.721953487;0.56087992
0.313531982;0.314792387;0.269685053
0.429264491;0.45197638;0.41102423
0.140200449;0.267084801;0.152190468
0.541912852;0.461076506;0.335816528
0.504655391;0.385596508;0.32840475
0.482570718;0.510243188;0.423776582
0.602729237;0.643899414;0.527087076
0.391669568;0.260279502;0.236203379
0.19107986;0.230654891;0.152246228
0.416072763;0.33815701;0.297106438
0.381785284;0.476137339;0.43538837
0.316071965;0.403421661;0.269853161
0.507087608;0.552737389;0.435079909
0.416870619;0.393746919;0.3641948
0.290592145;0.479965819;0.237554268
0.708806222;0.666232826;0.513983224
0.401435003;0.40703281;0.369920146
0.578986148;0.504443226;0.412761551
0.305503759;0.460115112;0.279409485
0.215475174;0.227114309;0.17377229
0.532664826;0.625918116;0.423253141
0.146870245;0.217941693;0.143241518
0.224226562;0.431052797;0.238065502
0.191033824;0.263612579;0.170471165
0.328029409;0.181376192;0.193986251
0.163777222;0.100742054;0.095768966
0.774974022;0.632930907;0.387258548
0.217641357;0.216613112;0.21572725
0.26668588;0.271658948;0.241167636
0.274483989;0.284997208;0.257806142
0.511725398;0.318844522;0.201662777
0.71153288;0.575048867;0.42216071
0.496595751;0.640302551;0.377746993
0.180106841;0.270973723;0.151779331
0.220317943;0.142684652;0.135664937
0.348904315;0.26228678;0.173203809
0.594908408;0.673125926;0.442581909
0.469990148;0.431991237;0.390752928
0.19015827;0.166458353;0.163745638
0.286168298;0.404289947;0.282064681
0.362290033;0.470041993;0.302935461
0.312055853;0.304561467;0.301687268
0.560356101;0.490368267;0.406670804
0.552287554;0.383229417;0.327005793
0.614142443;0.556252904;0.492981821
0.396051544;0.496494896;0.344554318
0.61465156;0.529371764;0.43076074
0.425232557;0.334961245;0.288032226
0.119465427;0.048991827;0.06968517
0.156169064;0.34350709;0.188071908
0.162281268;0.252524942;0.317397547
0.200033003;0.228381617;0.181419515
0.287734984;0.374349712;0.320798336
0.615749611;0.651980423;0.583310688
0.185470556;0.257657118;0.174694492
0.449879809;0.392397042;0.348403873
0.317972703;0.201224531;0.193213723
0.721730951;0.77963136;0.562017407
0.11104597;0.233668959;0.122883621
0.150196399;0.297213922;0.169466117
0.186698589;0.259761192;0.177565008
0.442401363;0.445954033;0.419120166
0.686556691;0.597612393;0.465608839
0.659098296;0.624688872;0.536737973
0.641567029;0.567469475;0.462839114
0.248789847;0.202653443;0.182065142
0.198253235;0.104404879;0.120937387
0.354089275;0.298995203;0.25387311
0.594130769;0.504188351;0.40702683
0.253982262;0.293668132;0.213857962
0.308247153;0.206508453;0.190807879
0.597355297;0.388154664;0.329073577
0.248150601;0.348013597;0.20719362
0.359986628;0.266461456;0.241096728
0.673771138;0.527941465;0.396025042
0.231532101;0.328751961;0.21581164
0.20464559;0.178377423;0.145410177
0.434293291;0.315054262;0.272229264
0.471966636;0.625199964;0.369663186
0.364873816;0.249014953;0.233577763
0.39826168;0.579447078;0.342385555
0.685806547;0.635107538;0.502767124
0.577195094;0.670563248;0.427737439
0.599347638;0.488906793;0.405240669
0.556205445;0.635999629;0.444330923
0.547402466;0.567418673;0.479955902
0.387585272;0.536957722;0.388667342
0.392901523;0.50444266;0.355465817
0.480187588;0.376879208;0.314919915
0.429936897;0.64144066;0.331347121
0.347731853;0.401460342;0.351431978
0.174264819;0.176439095;0.16049353
0.332742922;0.282679568;0.259145144
0.639508645;0.782800983;0.411446569
0.517509807;0.382595176;0.316198566
0.10025368;0.176313338;0.112827513
0.317984102;0.262588564;0.222294403
0.148893373;0.063093831;0.086644131
0.200267864;0.117712385;0.123763698
0.27200667;0.218364448;0.189896649
0.355224767;0.240478948;0.229639433
0.260022659;0.30699499;0.229380846
0.365510825;0.35453626;0.340770924
0.43928404;0.330901155;0.283663702
0.09759303;0.184217355;0.216687083
0.209447614;0.322953734;0.243583955
0.144966156;0.064928638;0.07258146
0.175360247;0.11261226;0.090686564
0.139496483;0.256440445;0.13764382
0.175981623;0.297998551;0.177469435
0.174944732;0.201671218;0.16511158
0.444901425;0.321946563;0.287105264
0.327653409;0.26494568;0.228176771
0.347414843;0.41586326;0.285010802
0.260275805;0.272522878;0.225549657
0.557068487;0.428198593;0.350703044
0.292516706;0.327522858;0.234638915
0.06568342;0.152513805;0.076620092
0.601814416;0.519086772;0.426306747
0.714017711;0.580156566;0.411417905
0.353446148;0.256433212;0.223891983
0.336256149;0.238804556;0.221728918
0.195614452;0.307223237;0.193830714
0.508916471;0.427376124;0.303274681
0.288586136;0.160462847;0.168447132
0.306002924;0.230670765;0.199023924
0.156147352;0.163482049;0.147078338
0.194687543;0.138343816;0.114532917
0.374874217;0.370565502;0.367862479
0.096666055;0.240229948;0.129420128
0.254044444;0.176164263;0.170676099
0.308427385;0.188543675;0.184051438
0.53902449;0.618375664;0.415201768
0.762286981;0.640081589;0.45328018
0.523541098;0.614276724;0.465921189
0.279101541;0.255867611;0.245582812
0.611815863;0.562463547;0.471810637
0.330950217;0.227755025;0.147561012
0.697728197;0.621475807;0.478755713
0.379999728;0.348438242;0.321234591
0.265454934;0.303003546;0.212598268
0.717842969;0.766266972;0.559757227
0.251828433;0.358249436;0.218365167
0.410206108;0.413347546;0.302535939
0.403455223;0.254085427;0.238722885
0.428973657;0.364144492;0.308199964
0.647187058;0.730668838;0.436729309
0.236734336;0.119920607;0.136799054
0.18367746;0.190141846;0.172118243
0.29776668;0.369458908;0.25027269
0.4004587;0.264041929;0.252683369
0.618921083;0.433958208;0.374433243
0.658866183;0.662306118;0.603989853
0.250340285;0.220913644;0.210767245
0.627213941;0.39722994;0.339891955
0.642066534;0.58824005;0.434218643
0.165958342;0.097604659;0.094172868
0.552338286;0.478108996;0.401733469
0.573923406;0.595235879;0.535313922
0.406397899;0.377590151;0.374443212
0.464484714;0.345372293;0.298092835
0.387862634;0.316449495;0.266006832
0.246969163;0.13500531;0.135400723
0.432167354;0.495841008;0.389875802
0.718021282;0.709493292;0.603831171
0.596930432;0.467064322;0.368788109
0.521965345;0.404541115;0.332688416
0.185064345;0.097074689;0.10757947
0.610945691;0.541590257;0.435343244
0.686403757;0.619986907;0.441822009
0.235040388;0.134511635;0.132927866
0.628224413;0.65974403;0.551278474
0.206785915;0.37380837;0.200868703
0.415337692;0.399287816;0.389592241
0.174480435;0.341740059;0.180692398
0.158516086;0.154533243;0.149963384
0.493848633;0.444809065;0.368344785
0.638859262;0.678403963;0.547153397
0.201932273;0.12500209;0.125650322
0.771122208;0.776382913;0.758551697
0.116630822;0.046405046;0.060509088
0.283500091;0.223690778;0.181185392
0.626304916;0.776477752;0.436560322
0.209395495;0.10711434;0.099694724
0.440262266;0.562856767;0.372180738
0.494522903;0.618677664;0.379993895
0.693243823;0.813759258;0.473545345
0.287067821;0.237673817;0.222069794
0.204802614;0.172631206;0.201693926
0.378401429;0.404420126;0.345202576
0.147642419;0.198868418;0.237032371
0.763475978;0.63654982;0.448706147
0.470152621;0.220155193;0.251068478
0.127310858;0.096720976;0.095047149
0.169217533;0.11373129;0.096533506
0.351283436;0.406757131;0.309623123
0.248378568;0.390255494;0.23035097
0.256832742;0.417756524;0.232920665
0.374960273;0.206454093;0.211690452
0.21398978;0.218152039;0.20598392
0.509600029;0.436148107;0.287638477
0.729668483;0.663702624;0.541322725
0.442686678;0.212444602;0.244753019
0.411241411;0.447847225;0.396559138
0.077596486;0.192803405;0.107621084
0.250606404;0.325063262;0.22734953
0.640649456;0.48914187;0.389374186
0.265606237;0.274890624;0.249588064
0.176726131;0.160211308;0.156956052
0.667793948;0.730616611;0.531908637
0.4995357;0.574929815;0.411519409
0.409812642;0.340355902;0.291188354
0.53560075;0.331500198;0.293268023
0.314784945;0.429872058;0.265211401
0.278629745;0.179705003;0.168973303
0.318756956;0.135778501;0.16618749
0.846132257;0.803280164;0.588863461
0.816091711;0.814059691;0.64573711
0.396661713;0.478872001;0.27895198
0.432267348;0.479833868;0.342463225
0.362373303;0.19973636;0.202243385
0.323461259;0.529749582;0.290832396
0.372084414;0.467542508;0.369324154
0.842179681;0.750052084;0.501043933
0.361957492;0.214176101;0.21429217
0.191936782;0.166452376;0.16157829
0.376576731;0.506004458;0.312134828
0.636437718;0.493466649;0.371383251
0.440404259;0.551042224;0.416434186
0.604078105;0.632706772;0.508822095
0.172790833;0.118493647;0.099557078
0.274686537;0.270856041;0.225340382
0.612361313;0.61637784;0.519437504
0.666323346;0.661073465;0.609728307
0.245330425;0.116659387;0.139786816
0.649788683;0.52171862;0.382117304
0.211535078;0.191278919;0.175772041
0.417250774;0.257028795;0.247749427
0.511908284;0.616339891;0.388873071
0.2074053;0.185101628;0.205185652
