wheel_f;wheel_r;rail_max
0.152790057;0.089244718;0.098243554
0.182994749;0.109453006;0.116829391
0.178516762;0.106912472;0.114242966
0.221584896;0.127676028;0.109042545
0.224162996;0.132215801;0.114045647
0.284055359;0.180389381;0.146829121
0.285297286;0.181219997;0.146950684
0.28525901;0.181120626;0.146808847
0.291800197;0.189373916;0.152975865
0.332872607;0.242196453;0.152332861
0.330646665;0.24646199;0.15430223
0.25628998;0.322297396;0.359964256
0.256212564;0.322237113;0.359492083
0.244260202;0.333301315;0.362669527
0.233040045;0.324151891;0.354418253
0.101654401;0.151447052;0.150941264
0.10262782;0.153843547;0.152250354
0.109743287;0.163882387;0.162424732
0.111356555;0.168351944;0.166380868
0.22435694;0.368038271;0.17643389
0.191704802;0.318081325;0.1568681
0.159055137;0.298560056;0.160588815
0.076560777;0.164779082;0.085657401
0.076561827;0.164790238;0.085881089
0.0745186;0.166837786;0.084957749
0.074533737;0.166858164;0.084919024
0.074645783;0.167999236;0.085534084
0.07459408;0.167971456;0.085475186
0.227271371;0.250916357;0.190141592
0.232571242;0.25507454;0.191146913
0.2325011;0.255066071;0.191127311
0.205031009;0.2368665;0.188478302
0.211667505;0.243516831;0.194451774
0.606038262;0.631191829;0.503297927
0.700466251;0.488476026;0.404183344
0.679470831;0.472392932;0.396406407
0.679519701;0.475689538;0.37910577
0.677762777;0.473693282;0.378081892
0.685290242;0.485919013;0.433503927
0.68554542;0.496198304;0.436488487
0.697649744;0.465562262;0.433789483
0.697654018;0.465497696;0.431066817
0.697636383;0.46567047;0.433275401
0.713007154;0.47768022;0.43936272
0.653951112;0.415900549;0.4046459
0.643327899;0.396308422;0.398825862
0.643340277;0.396274537;0.399652003
0.643942809;0.39682091;0.399777942
0.618508491;0.382922567;0.386895588
0.624502428;0.390142195;0.39048385
0.622889914;0.390274479;0.391043337
0.621984504;0.384114452;0.386406515
0.621977422;0.384180924;0.386579446
0.723790731;0.511637009;0.448100487
0.614698814;0.383111815;0.349012603
0.612330075;0.380598058;0.347902807
0.535989377;0.657002412;0.417966844
0.54055127;0.659534872;0.420958932
0.524439017;0.634204576;0.413374825
0.514577714;0.636662425;0.392244575
0.50391115;0.634989193;0.406586689
0.681186496;0.772502668;0.472777797
0.567223212;0.68673107;0.432318413
0.561774219;0.685424985;0.397960784
0.561727713;0.685436509;0.398097497
0.546978943;0.635804859;0.404874252
0.547044934;0.635710663;0.404834793
0.547427858;0.635692635;0.404938393
0.547402555;0.635708758;0.405145262
0.574345864;0.668282405;0.415919232
0.544993501;0.643719731;0.400133295
0.545069404;0.64206212;0.399486874
0.49645443;0.595445957;0.370552527
0.496066533;0.595439769;0.370280216
0.50560947;0.637190793;0.368622978
0.505692551;0.638034275;0.376156214
0.482663574;0.625326132;0.363368967
0.528302583;0.598274871;0.40984467
0.205604738;0.28056798;0.192601007
0.205590583;0.280578364;0.192664014
0.178235445;0.28162931;0.176571433
0.180713818;0.284634341;0.178408367
0.254423121;0.216309009;0.213225705
0.259980476;0.221339785;0.217885629
0.092488117;0.060701286;0.049253608
0.091618824;0.059474322;0.049027398
0.090902318;0.059252149;0.04838568
0.090899198;0.059174832;0.048412765
0.09121146;0.059323886;0.048929853
0.091666011;0.059858294;0.049421005
0.082554917;0.053922677;0.044780161
0.082579041;0.05400104;0.044572357
0.241331232;0.166625335;0.141428453
0.240865835;0.166081299;0.140565238
0.213127779;0.132787253;0.127105624
0.42332653;0.309865628;0.278886362
0.405284902;0.331979923;0.30452151
0.390900829;0.322183717;0.299891484
0.278185407;0.421394853;0.250882069
0.277801618;0.421239622;0.251174131
0.267219902;0.405271527;0.243099901
0.267412992;0.405668216;0.243374807
0.281510475;0.398794147;0.26125112
0.281482099;0.39880698;0.261212881
0.302924655;0.417522055;0.273546346
0.489787913;0.609076456;0.392746235
0.489712353;0.609028885;0.392735105
0.534809564;0.649754817;0.418924199
0.553092534;0.67411871;0.423002476
0.553126037;0.673943211;0.417739097
0.532291081;0.647828872;0.411428232
0.54347111;0.664706163;0.413063328
0.192010416;0.178128237;0.166615325
0.18636104;0.173076516;0.163359734
0.186333896;0.173042396;0.163835224
0.186094799;0.172967599;0.163778264
0.192723308;0.188644307;0.178160312
0.194322657;0.190216115;0.179847741
0.067990487;0.065576204;0.123939022
0.068074516;0.065640784;0.123887492
0.531544551;0.533623144;0.519636271
0.529087958;0.529187613;0.515918741
0.549495921;0.550357904;0.54128383
0.551700628;0.549564491;0.541102553
0.549315668;0.549963959;0.535907503
0.548639528;0.549325068;0.536264838
0.523971841;0.521993993;0.504616923
0.579806683;0.57610519;0.546523513
0.588156558;0.587906087;0.553697139
0.59517172;0.591752513;0.542474426
0.567705019;0.573585517;0.537020324
0.567717173;0.573487924;0.537037084
0.553254211;0.586384856;0.500588253
0.552804534;0.584316923;0.500112969
0.554018041;0.589881932;0.498875528
0.747191947;0.777366301;0.599684462
0.75124493;0.774742757;0.650772631
0.712131352;0.746480041;0.626616405
0.71212044;0.746501578;0.626733006
0.776881242;0.655330375;0.440585855
0.380380018;0.293509167;0.268587154
0.409284282;0.33066669;0.283250863
0.409333995;0.330675121;0.283797682
0.407149858;0.330614926;0.283945831
0.383611374;0.307432711;0.268101007
0.382222273;0.306243028;0.266439861
0.38304162;0.307255748;0.266472274
0.380045274;0.30163677;0.283309978
0.219274287;0.172850137;0.129072618
0.212937994;0.171145432;0.133193656
0.212949544;0.171153982;0.133075409
0.186793492;0.15419537;0.131135107
0.186804458;0.154186758;0.131017528
0.187435914;0.154566535;0.130937662
0.138196514;0.204621836;0.213747159
0.128048;0.171516975;0.181664912
0.12244578;0.177333613;0.185068378
0.126579738;0.171664046;0.177585878
0.042467758;0.05937936;0.040776552
0.087184285;0.122196631;0.080180967
0.071668023;0.113345909;0.084840296
0.071700152;0.113301461;0.084872963
0.060359274;0.126194713;0.091978138
0.05743828;0.121322102;0.088106285
0.062865422;0.124068344;0.066054319
0.067941167;0.138403116;0.073534772
0.070458685;0.157632466;0.083787681
0.066548729;0.156269417;0.08313597
0.11349313;0.082747437;0.081724673
0.105820254;0.078939231;0.077663844
0.102632513;0.076499789;0.077305261
0.146017519;0.111012716;0.112539353
0.147205549;0.113713866;0.113623622
0.375772505;0.319309823;0.292089038
0.295000333;0.269866217;0.264021744
0.295358446;0.26993408;0.264108147
0.293611703;0.268309418;0.262726781
0.103915884;0.082519093;0.093611079
0.0868368;0.066595493;0.073503481
0.09977902;0.054919962;0.050665996
0.099645408;0.054975954;0.050888747
0.099543501;0.054907306;0.050780107
0.115194796;0.063882832;0.058111655
0.08842093;0.089375151;0.103599945
0.062533008;0.075245906;0.063734072
0.066515127;0.077302864;0.068650282
0.070984993;0.07830565;0.072209644
0.057904103;0.07537052;0.061924925
0.057902193;0.075366821;0.062032294
0.055353172;0.072509382;0.059595257
0.056237086;0.073683665;0.060332704
0.048967778;0.081591105;0.057687582
0.151698627;0.201770079;0.146575809
0.166832419;0.205220644;0.157877607
0.166763651;0.204672569;0.157758598
0.166819994;0.204587805;0.157770876
0.586561691;0.495925775;0.41744775
0.58670357;0.495884173;0.418004268
0.535131931;0.555549595;0.493008178
0.550482153;0.579370304;0.489382647
0.550490939;0.5794546;0.489754204
0.519445629;0.578786013;0.425203222
0.266498901;0.324851459;0.239301091
0.269802769;0.32844999;0.242070557
0.322033244;0.383599282;0.283039199
0.322044467;0.383627055;0.282878923
0.322576235;0.384924053;0.291972068
0.322568331;0.384914771;0.292003207
0.319719608;0.383923122;0.29137013
0.316921173;0.366187425;0.294024377
0.31147972;0.329864785;0.303978751
0.25776533;0.375805057;0.240970737
0.26092893;0.382893247;0.2433907
0.260922423;0.382889051;0.24338674
0.277059755;0.425966441;0.256777381
0.260598378;0.41291675;0.248788064
0.261023058;0.413071309;0.249367709
0.272332356;0.450458635;0.260491465
0.107740109;0.249585292;0.140783524
0.107751381;0.249594977;0.140736425
0.102830065;0.253446974;0.140230122
0.128639245;0.267863334;0.14421424
0.07369802;0.151727818;0.080771851
0.074133118;0.153108128;0.081752324
0.343714228;0.390083283;0.312715741
0.341033762;0.387929115;0.310708763
0.137040995;0.165576586;0.132348547
0.130276482;0.171983768;0.123826399
0.151647846;0.15088288;0.143637847
0.137837827;0.140509575;0.136413991
0.136688673;0.13931167;0.135249683
0.119798733;0.143277404;0.11870014
0.132283278;0.157476058;0.130436501
0.139357617;0.180257656;0.138147296
0.12668095;0.164358676;0.126416084
0.210686371;0.079652234;0.119349116
0.199694073;0.077228774;0.114103162
0.19971694;0.07722015;0.114204839
0.410654489;0.243012631;0.243121895
0.43040495;0.26272182;0.254775556
0.272794085;0.140338349;0.162319189
0.272808348;0.140316746;0.162359939
0.272887702;0.140397264;0.162088192
0.272902849;0.140459416;0.162194446
0.274429799;0.141727992;0.171183974
0.287295303;0.144898412;0.176995652
0.287053275;0.144028165;0.183586811
0.287045796;0.144049153;0.183837863
0.287035155;0.144017723;0.183541144
0.291434923;0.147029188;0.186826785
0.340634595;0.182967587;0.217696069
0.340605604;0.183060066;0.217914519
0.521211257;0.424183451;0.36331798
0.518511666;0.424887456;0.362160594
0.520477378;0.427583447;0.36430425
0.429138442;0.520696578;0.385869745
0.450456145;0.519023752;0.405031817
0.475586342;0.552144528;0.419624927
0.472779969;0.549294123;0.419241793
0.475577416;0.553373361;0.433602026
0.468290658;0.554530763;0.427562859
0.468327424;0.554542892;0.426986521
0.49686946;0.549652408;0.456754687
0.536179441;0.595083492;0.481472624
0.535952291;0.594942094;0.480840617
0.536006879;0.594942725;0.480682302
0.615609039;0.672407039;0.52477076
0.601209994;0.664322101;0.49152121
0.593199075;0.684805643;0.452441072
0.592200694;0.68386819;0.451917665
0.423070059;0.561558053;0.338820856
0.261187013;0.421694244;0.234826836
0.261488083;0.42164861;0.235132898
0.244760943;0.412858912;0.263324144
0.076882145;0.173892823;0.09756328
0.075587115;0.17517918;0.097544539
0.083035174;0.139139383;0.087957151
0.062805131;0.161596086;0.088293409
0.062864506;0.161601704;0.088232888
0.063535365;0.163141588;0.089083204
0.334615223;0.369492386;0.304767975
0.334575427;0.369498643;0.304849213
0.300471061;0.398191158;0.260658215
0.319287568;0.432887009;0.272006514
0.338905502;0.442061644;0.262997967
0.316422214;0.421486479;0.249031
0.317187539;0.431491657;0.248864987
0.389535252;0.368377863;0.35399481
0.384692976;0.36425481;0.348351874
0.355015652;0.368557984;0.321557993
0.348607021;0.362097157;0.315015817
0.354601501;0.368130463;0.32131427
0.352538347;0.394720668;0.298217276
0.389313873;0.419399468;0.331029866
0.389242166;0.419350706;0.330687327
0.571084247;0.636927855;0.382244392
0.570997643;0.636975945;0.381703364
0.372119294;0.445122936;0.267747643
0.355909888;0.431262568;0.259427662
0.404243207;0.481831409;0.296057641
0.39990371;0.483366713;0.268133224
0.189534369;0.191038186;0.16585368
0.191767727;0.188758666;0.165652694
0.191824243;0.188811599;0.167436569
0.221853673;0.219640454;0.198707542
0.224895639;0.223698207;0.181028778
0.225892171;0.220211552;0.187895632
0.226509099;0.220631494;0.187422906
0.196872935;0.128123126;0.106922129
0.17125359;0.113030081;0.095042167
0.170980202;0.112717951;0.0951207
0.172608051;0.118108926;0.09746229
0.130262959;0.161624655;0.195985724
0.132301751;0.163168596;0.198822455
0.135488043;0.159412488;0.190025315
0.089162582;0.127076087;0.086655022
0.109435085;0.106116149;0.101049684
0.030803106;0.028746582;0.026324641
0.035843485;0.036146933;0.031171969
0.035814596;0.036131355;0.031235464
0.05538723;0.056436448;0.051685253
0.227423675;0.218765598;0.214840471
0.22740343;0.218803164;0.214799879
0.220457972;0.211911621;0.208105846
0.220386155;0.211914146;0.208127889
0.228915828;0.217780139;0.219073225
0.201038079;0.184288811;0.187458635
0.20510635;0.188089183;0.191607143
0.197457257;0.183323096;0.184458539
0.197422222;0.183417912;0.184336614
0.195033328;0.14022361;0.151498907
0.194093994;0.139093795;0.139786314
0.392011573;0.296429953;0.330504371
0.386243361;0.306104222;0.339762558
0.361601791;0.303778168;0.333406875
0.36214375;0.305567358;0.323676709
0.461044851;0.649767456;0.432865255
0.343087392;0.534702638;0.402543319
0.344138709;0.536018598;0.402921138
0.344207478;0.536030538;0.402868598
0.373595719;0.546596462;0.394158449
0.362154563;0.543395859;0.389124641
0.368666095;0.545263954;0.391699466
0.35233534;0.519626963;0.374484737
0.352430526;0.519604615;0.374395663
0.351709215;0.5187136;0.374346587
0.342799382;0.494703262;0.359855015
0.035948867;0.058776584;0.028995633
0.040458972;0.075911368;0.03611695
0.061170069;0.050206733;0.035449671
0.061216958;0.050135041;0.034917824
0.059666411;0.051837645;0.036462377
0.059351207;0.051200729;0.03607261
0.058477266;0.052179868;0.036164616
0.05934317;0.053034291;0.036656491
0.059371803;0.053011298;0.03656054
0.055394747;0.048009643;0.033421808
0.062977931;0.054744486;0.039326825
0.134463333;0.121794509;0.23105948
0.134475746;0.12180612;0.231421978
0.13595861;0.120710599;0.207013223
0.232269858;0.217297749;0.181380443
0.255273041;0.241149309;0.199708472
0.267876973;0.227585505;0.188818481
0.100415176;0.122393934;0.09156754
0.109364681;0.131769023;0.099364332
0.106071272;0.132724915;0.096785073
0.106018241;0.132678509;0.096817358
0.105920604;0.13271751;0.096894767
0.105869469;0.132714853;0.096949294
0.120366026;0.148556026;0.109454322
0.120746626;0.148957448;0.109976401
0.123678245;0.151470432;0.11133878
0.124618835;0.153144779;0.112578672
0.275528068;0.315131862;0.249632236
0.267547163;0.319244623;0.239235652
0.271236243;0.315997702;0.245654954
0.312314967;0.348073703;0.251638311
0.382485748;0.408515706;0.286420636
0.382746671;0.407357933;0.283500492
0.392150342;0.416398943;0.288380769
0.464149139;0.339443482;0.375686148
0.464239852;0.339714748;0.374580145
0.463809866;0.337991436;0.374992073
0.465667569;0.338719945;0.377855194
0.442706461;0.320217331;0.357990433
0.247153252;0.162396913;0.199276444
0.231527951;0.177363126;0.192245171
0.271868179;0.200203893;0.223970752
0.271956278;0.200200283;0.223885586
0.463487322;0.401817153;0.389944109
0.511437467;0.403744831;0.399902361
0.57793047;0.414201099;0.270598213
0.480655984;0.359363667;0.271315798
0.453527925;0.392659936;0.345161983
0.440088993;0.378255598;0.346716887
0.570114996;0.538445658;0.536760949
0.570345729;0.538281826;0.536812722
0.557668482;0.533572134;0.529604979
0.557608571;0.533586635;0.529614406
0.668324942;0.668677522;0.589656554
0.61890152;0.621637379;0.534494676
0.619048074;0.621019117;0.530930688
0.62252109;0.633420154;0.517649338
0.635886844;0.676574369;0.482215969
0.303026483;0.368687745;0.262824467
0.335480419;0.404034412;0.287295784
0.279318953;0.346603182;0.246050771
0.290407916;0.33789153;0.271760173
0.288958425;0.357299001;0.263608447
0.28890125;0.357291461;0.263644886
0.286238671;0.354432427;0.261585816
0.286234151;0.354431143;0.261621753
0.2862379;0.35443071;0.261478112
0.283187642;0.351170288;0.259222565
0.283200994;0.351149169;0.259204548
0.282992022;0.351054329;0.259400884
0.236520349;0.387468982;0.250520932
0.250009452;0.399740736;0.25714875
0.269280301;0.411682268;0.266345891
0.658893599;0.604593099;0.499040713
0.658685237;0.604578411;0.498898539
0.651173677;0.615280711;0.575951216
0.655433584;0.617951463;0.577659494
0.603238908;0.60936219;0.529050047
0.631014199;0.613659501;0.611445458
0.631048663;0.613678369;0.611384955
0.630944108;0.612790538;0.611092303
0.630958102;0.612789278;0.610828882
0.594065303;0.561717946;0.559545371
0.591607106;0.552291897;0.569760551
0.625616653;0.580933688;0.572319463
0.547766929;0.643184621;0.393323746
0.564350986;0.66598588;0.400584888
0.557024775;0.660198603;0.397416456
0.608152515;0.709275807;0.425288779
0.608058508;0.708890308;0.41280371
0.666917629;0.668425701;0.580330292
0.675452711;0.676287499;0.587195499
0.65870201;0.668300059;0.54811256
0.658944581;0.668230264;0.548125177
0.662670542;0.669607574;0.542830431
0.662631677;0.669640951;0.543006884
0.886280853;0.87140538;0.712841219
0.875307009;0.861885458;0.704409729
0.79474858;0.810670541;0.596263548
0.79555869;0.811026514;0.597208336
0.693770012;0.725195682;0.537852093
0.046136298;0.02417701;0.025778489
0.043070766;0.021981525;0.024057085
0.04276999;0.021819946;0.023998632
0.040501598;0.024112723;0.023691003
0.040434813;0.023957208;0.02385019
0.152295115;0.110870371;0.117371244
0.156487813;0.115105979;0.120001169
0.156592442;0.115203919;0.120132096
0.149681815;0.110985494;0.1150262
0.14132048;0.105167704;0.108967242
0.139993019;0.104339421;0.108808497
0.084731312;0.159449699;0.094827137
0.101499679;0.165057662;0.107002563
0.080709749;0.129453587;0.088364872
0.069115259;0.142573316;0.095700098
0.069159592;0.142561223;0.09568593
0.068092904;0.140501074;0.094243719
0.068006406;0.140437158;0.094255096
0.066290653;0.142037161;0.096046133
0.076960836;0.171134378;0.116582811
0.070397178;0.155003659;0.105186741
0.277636101;0.438009114;0.348122827
0.283215224;0.444041131;0.354881492
0.464598549;0.624569442;0.407047257
0.460454117;0.620737827;0.406249755
0.460087782;0.620786967;0.406491009
0.474002022;0.63957042;0.418465203
0.458622717;0.615871282;0.404060489
0.651065198;0.58346273;0.460285188
0.65128928;0.583710551;0.460760035
0.651283079;0.583720417;0.460771669
0.631630848;0.567543808;0.446969513
0.628001794;0.56039344;0.438874802
0.628006199;0.560403139;0.438975537
0.342627823;0.264230993;0.239153644
0.333452226;0.258405064;0.234483403
0.328354104;0.26538381;0.247423756
0.34095118;0.277889164;0.253209115
0.105661727;0.076949827;0.071642854
0.105164178;0.075993527;0.070835607
0.105051168;0.076295979;0.071287858
0.066489379;0.118581661;0.138887606
0.133199459;0.244284225;0.161123499
0.115835512;0.260578178;0.17244272
0.105526452;0.232269567;0.154204063
0.107086501;0.237272212;0.15744465
0.103362533;0.233665604;0.14645495
0.099012825;0.221071693;0.138764521
0.099932183;0.222591655;0.139121023
0.093758937;0.203904447;0.128895902
0.093889748;0.203969819;0.128497951
0.093018581;0.202416389;0.127610132
0.092829324;0.202400888;0.127453127
0.1142529;0.243413627;0.158423977
0.126262247;0.249628302;0.123658516
0.126523653;0.249700717;0.123541384
0.070744859;0.0501239;0.052427873
0.071153897;0.049510992;0.050916933
0.056494605;0.039501224;0.043043479
0.060267186;0.037021979;0.033380672
0.059791557;0.036637992;0.033415
0.059921059;0.036693906;0.033282257
0.06667152;0.041885274;0.038488129
0.097303406;0.070227166;0.045173647
0.114029568;0.087419352;0.053796291
0.094892428;0.06686719;0.042292864
0.094851858;0.066832658;0.041778797
0.083281843;0.055686494;0.036673626
0.083209194;0.055848201;0.036300065
0.083903331;0.056999526;0.0368372
0.161432299;0.097508619;0.088102765
0.13159548;0.071349846;0.079280017
0.129275232;0.066013985;0.075953666
0.079376487;0.115308897;0.077150595
0.078006262;0.113419988;0.07576014
0.078069534;0.11345697;0.075746972
0.099080168;0.143445972;0.097947021
0.244908095;0.319773035;0.222123698
0.258793725;0.330672813;0.229480676
0.44367472;0.523968867;0.372539225
0.443907002;0.524166127;0.372925174
0.465069873;0.532730863;0.394898303
0.455188249;0.539108222;0.365168867
0.454576176;0.537201422;0.349170157
0.245813424;0.13226931;0.148938739
0.763534033;0.650239632;0.462521023
0.736393957;0.623025428;0.455423607
0.736390348;0.623039442;0.455472333
0.742599221;0.62784872;0.430353498
0.74533771;0.630418259;0.430381553
0.765944446;0.65251878;0.433756162
0.766158795;0.65244298;0.433697226
0.830771215;0.75304545;0.510027908
0.830796575;0.753023775;0.510087275
0.817057296;0.73522328;0.497856029
0.816700999;0.735746926;0.497872727
0.690818515;0.583563255;0.401697051
0.660342771;0.557892068;0.400072366
0.615296833;0.615145979;0.59827867
0.613945752;0.613278901;0.594855495
0.574081252;0.646059249;0.470757154
0.57736698;0.646667709;0.464430842
0.585865181;0.643532433;0.5402823
0.5859121;0.643533196;0.540298426
0.583711866;0.641294538;0.538481255
0.583737019;0.641319529;0.538369188
0.562251244;0.616923939;0.533042391
0.566855326;0.621762952;0.536856503
0.568418356;0.621952078;0.537146859
0.501582923;0.575526061;0.495878071
0.513708393;0.58888652;0.500954389
0.551250421;0.649610105;0.489105281
0.635077143;0.45542111;0.526731521
0.596421183;0.42236715;0.513391181
0.594628781;0.418905751;0.511296868
0.586407286;0.403528801;0.502181972
0.565093642;0.374043502;0.422631926
0.190609776;0.080193485;0.141917311
0.367176294;0.224534222;0.277603544
0.366675091;0.222824746;0.293124155
0.366689087;0.222837193;0.294533705
0.366536834;0.222510254;0.291451437
0.386526327;0.240744703;0.309712037
0.391624636;0.245023662;0.312928547
0.391604691;0.245029081;0.312724064
0.388123519;0.243589134;0.246249648
0.388220963;0.24356544;0.246348822
0.388232248;0.243563831;0.24649499
0.396321445;0.251255556;0.251331775
0.410890798;0.227874041;0.244674162
0.434699804;0.227869517;0.253090557
0.434866687;0.228163656;0.253259358
0.402225878;0.277926551;0.263869307
0.402199611;0.277942249;0.264401371
0.420544317;0.292835813;0.274573229
0.442333067;0.285424146;0.275450217
0.271205527;0.130873362;0.16329099
0.191095372;0.217309441;0.184822667
0.187846029;0.213778104;0.181975905
0.1960892;0.228919201;0.188096667
0.076799801;0.075487086;0.07278868
0.099472135;0.091975094;0.077387851
0.127150378;0.11683999;0.089594336
0.126699411;0.115967456;0.088657361
0.127128109;0.116248537;0.088485011
0.126787876;0.115929946;0.089602404
0.126993074;0.116123157;0.089251021
0.206494067;0.199022755;0.178452616
0.197089281;0.191905414;0.167026271
0.224479079;0.164324085;0.164773491
0.224350608;0.164206665;0.165164554
0.217238331;0.156131166;0.162828356
0.221096023;0.162663016;0.156415386
0.220972162;0.162728357;0.156151918
0.226483104;0.156252478;0.151140164
0.226516955;0.156278158;0.15193498
0.225082442;0.157734306;0.150921142
0.167925216;0.215120021;0.141141871
0.180718778;0.233334543;0.150453895
0.370813974;0.438452574;0.285258537
0.382165907;0.370988492;0.353106648
0.367914689;0.357385734;0.33884249
0.337214541;0.356915507;0.291266884
0.29971791;0.317610835;0.253565506
0.332363919;0.355913641;0.275291935
0.333888189;0.357526548;0.276293478
0.580207598;0.533337117;0.470196007
0.553036022;0.533522694;0.507396913
0.079977253;0.107023775;0.074417587
0.080066691;0.107040152;0.074549222
0.072333394;0.087385049;0.062622592
0.208182446;0.258600869;0.189243465
0.206022573;0.257461796;0.189088597
0.203499434;0.254610585;0.186858252
0.212766072;0.256747856;0.184989101
0.214234508;0.261344287;0.192568864
0.239383038;0.30530803;0.211948429
0.239363743;0.305315246;0.211763334
0.22876308;0.297569676;0.206192572
0.228785538;0.297563291;0.206390231
0.247528128;0.33949617;0.220076669
0.238145511;0.330700777;0.213603317
0.334384648;0.233290907;0.215736697
0.3194525;0.221527466;0.207249602
0.316796736;0.219217501;0.205559947
0.34056191;0.188452036;0.197332319
0.340542428;0.188495053;0.19727126
0.266890061;0.13467188;0.153383875
0.27258437;0.137471703;0.156385346
0.149345716;0.063389556;0.083301596
0.148611646;0.063049521;0.082990334
